,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
56,12672,12608,12560,12576,12544,12592,12656,12576,12512,12592,12608,12592,12560,12512,12560,12608,12528,12480
57,12608,12576,12608,12592,12512,12544,12640,12624,12528,12560,12576,12592,12640,12512,12480,12592,12576,12560
58,12624,12528,12560,12640,12528,12512,12608,12624,12576,12560,12544,12560,12608,12576,12496,12512,12512,12560
59,12624,12560,12528,12608,12576,12560,12560,12560,12576,12624,12560,12496,12576,12576,12576,12528,12480,12544
60,12640,12576,12528,12544,12544,12576,12624,12544,12496,12608,12608,12544,12512,12528,12560,12624,12496,12528
61,12640,12576,12576,12576,12480,12560,12656,12576,12512,12528,12560,12592,12608,12512,12512,12608,12544,12528
62,12576,12560,12592,12592,12512,12496,12608,12608,12560,12576,12528,12560,12656,12560,12480,12528,12560,12608
63,12592,12512,12544,12608,12576,12512,12576,12592,12592,12656,12560,12544,12576,12576,12576,12560,12512,12528
64,12624,12592,12592,12592,12528,12528,12640,12640,12576,12576,12528,12560,12640,12592,12528,12528,12512,12560
65,12688,12576,12544,12544,12560,12592,12608,12528,12512,12624,12608,12544,12528,12544,12576,12576,12480,12496
66,12624,12592,12576,12576,12480,12560,12640,12592,12512,12560,12576,12592,12576,12512,12544,12576,12544,12528
67,12576,12560,12576,12592,12512,12496,12624,12624,12544,12560,12544,12576,12624,12544,12496,12560,12544,12576
68,12624,12528,12560,12624,12560,12528,12560,12592,12608,12656,12544,12544,12576,12592,12592,12576,12480,12512
69,12624,12608,12592,12608,12528,12560,12688,12640,12560,12560,12528,12576,12560,12608,12528,12528,12496,12592
70,12688,12576,12560,12576,12560,12592,12640,12560,12512,12608,12624,12592,12624,12528,12544,12592,12560,12560
71,12624,12528,12560,12624,12576,12528,12592,12592,12592,12640,12576,12528,12560,12560,12576,12608,12512,12480
72,12608,12608,12592,12592,12528,12560,12624,12640,12560,12576,12544,12560,12640,12576,12512,12528,12528,12576
73,12688,12560,12528,12576,12576,12592,12624,12576,12512,12592,12624,12608,12592,12496,12528,12576,12576,12560
74,12624,12528,12576,12640,12576,12560,12576,12576,12576,12656,12576,12528,12560,12544,12576,12608,12512,12512
75,12624,12592,12608,12608,12512,12528,12624,12624,12592,12576,12496,12560,12608,12576,12528,12512,12528,12592
76,12624,12544,12544,12624,12592,12560,12560,12576,12576,12640,12560,12512,12560,12576,12560,12512,12480,12560
77,12656,12576,12544,12544,12560,12592,12608,12544,12528,12608,12608,12560,12528,12544,12560,12624,12496,12496
78,12624,12592,12576,12544,12496,12560,12656,12560,12496,12576,12576,12608,12608,12512,12544,12576,12576,12544
79,12608,12544,12560,12608,12576,12528,12592,12576,12592,12656,12576,12528,12592,12576,12576,12576,12496,12512
80,12592,12608,12592,12608,12512,12512,12592,12608,12576,12592,12528,12544,12608,12560,12496,12512,12512,12576
81,12624,12528,12496,12624,12576,12544,12576,12576,12576,12640,12544,12480,12592,12592,12544,12544,12480,12560
82,12656,12560,12528,12560,12544,12576,12624,12544,12528,12608,12624,12544,12512,12560,12544,12592,12512,12464
83,12608,12592,12560,12560,12480,12560,12624,12592,12528,12576,12560,12576,12512,12496,12544,12608,12576,12544
84,12576,12528,12576,12624,12560,12528,12544,12592,12576,12640,12576,12528,12560,12592,12576,12576,12496,12496
85,12624,12592,12608,12592,12528,12544,12624,12624,12560,12576,12528,12560,12608,12576,12496,12528,12528,12576
86,12624,12528,12544,12608,12576,12544,12528,12576,12560,12624,12528,12512,12608,12576,12560,12544,12448,12528
87,12640,12560,12528,12560,12560,12576,12608,12512,12528,12624,12608,12544,12560,12576,12544,12592,12480,12512
88,12592,12592,12560,12560,12496,12544,12656,12576,12512,12560,12592,12592,12576,12496,12528,12592,12544,12528
89,12560,12560,12592,12608,12480,12512,12640,12608,12544,12560,12544,12576,12592,12544,12496,12560,12544,12560
90,12576,12496,12560,12624,12544,12528,12512,12592,12592,12608,12544,12496,12624,12576,12576,12576,12480,12528
91,12672,12608,12576,12576,12496,12560,12672,12624,12544,12560,12576,12592,12624,12576,12496,12544,12512,12576
92,12656,12544,12528,12592,12560,12592,12592,12560,12528,12624,12640,12592,12560,12528,12544,12592,12560,12560
93,12624,12544,12576,12640,12560,12512,12608,12608,12592,12640,12576,12528,12576,12576,12576,12576,12496,12496
94,12640,12608,12592,12576,12512,12576,12656,12640,12544,12560,12560,12576,12640,12576,12528,12528,12528,12576
95,12656,12576,12544,12560,12560,12592,12656,12576,12512,12608,12624,12608,12608,12544,12512,12592,12576,12560
96,12608,12528,12576,12640,12576,12544,12624,12592,12576,12640,12592,12544,12560,12592,12576,12608,12496,12528
97,12592,12608,12608,12608,12528,12512,12592,12608,12576,12576,12528,12560,12640,12608,12544,12544,12528,12560
98,12640,12544,12528,12592,12576,12592,12592,12528,12560,12640,12560,12512,12560,12576,12576,12560,12480,12528
